comment,like,share,Total Interactions
4,79,17,100
5,130,29,164
0,66,14,80
58,1572,147,1777
19,325,49,393
1,152,33,186
3,249,27,279
0,325,14,339
0,161,31,192
3,113,26,142
0,233,19,252
0,88,18,106
0,90,14,104
5,137,10,152
2,577,20,599
4,86,18,108
2,40,12,54
15,678,20,713
4,54,17,75
0,34,8,42
3,66,12,81
0,0,0,0
0,16,2,18
0,72,24,96
3,99,19,121
0,88,18,106
10,412,72,494
0,100,17,117
36,523,63,622
18,143,13,174
33,107,22,162
1,27,11,39
2,155,47,204
4,98,23,125
2,56,17,75
6,172,21,199
0,96,17,113
16,76,8,100
11,227,31,269
1,44,14,59
7,216,39,262
6,187,18,211
7,26,3,36
7,29,10,46
0,47,11,58
4,57,10,71
4,174,36,214
6,18,8,32
0,77,15,92
1,12,1,14
1,48,9,58
24,285,28,337
9,202,31,242
4,64,19,87
4,66,13,83
2,65,14,81
2,164,54,220
0,40,13,53
3,76,11,90
4,139,17,160
8,101,14,123
8,144,10,162
10,179,13,202
4,219,22,245
2,60,7,69
19,77,23,119
0,48,7,55
20,697,70,787
0,53,17,70
7,84,28,119
7,146,9,162
17,449,84,550
3,226,44,273
14,172,47,233
2,99,13,114
20,411,74,505
0,0,0,0
4,85,8,97
0,56,8,64
2,29,7,38
2,86,13,101
18,370,53,441
5,190,57,252
2,101,19,122
2,99,16,117
10,140,8,158
2,130,31,163
3,270,38,311
3,30,6,39
2,107,17,126
13,331,77,421
0,78,13,91
9,301,32,342
2,111,16,129
2,124,22,148
5,153,27,185
3,51,11,65
1,115,26,142
7,310,61,378
12,328,90,430
0,0,0,0
26,1505,95,1626
2,63,14,79
0,13,4,17
4,59,9,72
42,955,139,1136
9,181,32,222
17,193,28,238
7,125,16,148
4,217,50,271
2,28,4,34
0,,,0
4,117,18,139
2,79,16,97
0,15,2,17
0,4,2,6
1,431,26,458
0,7,0,7
0,7,2,9
0,6,2,8
0,2,,2
6,186,40,232
1,1,2,4
1,3,2,6
0,7,,7
0,7,2,9
3,198,41,242
0,9,1,10
0,4,1,5
0,3,0,3
0,8,2,10
0,7,3,10
1,7,2,10
0,11,1,12
2,28,4,34
0,56,12,68
0,32,16,48
4,32,3,39
0,129,25,154
4,77,19,100
15,143,44,202
2,227,36,265
60,859,90,1009
10,377,60,447
3,41,9,53
6,76,14,96
0,189,15,204
0,80,14,94
3,148,28,179
0,24,11,35
24,302,41,367
2,166,32,200
47,358,49,454
7,161,25,193
13,319,55,387
0,54,16,70
16,117,30,163
1,115,21,137
30,187,35,252
1,84,13,98
6,363,40,409
6,244,32,282
22,290,98,410
4,243,41,288
0,18,,18
0,113,19,132
2,77,5,84
8,485,64,557
144,1622,208,1974
6,99,16,121
3,188,26,217
2,30,6,38
38,163,27,228
6,179,40,225
5,204,34,243
2,165,22,189
29,1047,98,1174
2,234,40,276
7,250,42,299
4,154,36,194
20,150,29,199
4,102,8,114
1,226,44,271
6,345,121,472
11,68,11,90
0,62,10,72
5,223,35,263
0,61,6,67
1,104,12,117
3,146,15,164
2,102,15,119
9,766,43,818
0,63,7,70
3,113,17,133
6,442,42,490
9,278,43,330
2,64,7,73
1,52,7,60
0,30,2,32
33,1155,102,1290
2,139,25,166
0,40,5,45
2,53,15,70
4,220,19,243
2,114,16,132
0,39,3,42
4,859,68,931
5,137,20,162
1,54,11,66
2,74,22,98
6,98,3,107
2,264,21,287
3,36,11,50
1,11,3,15
4,435,31,470
2,114,10,126
2,17,9,28
41,15,1,57
3,87,10,100
16,227,28,271
2,86,8,96
6,179,27,212
1,74,11,86
18,332,54,404
2,80,21,103
9,95,17,121
3,188,26,217
6,109,11,126
64,367,25,456
9,102,19,130
2,113,20,135
0,94,20,114
6,14,1,21
1,43,10,54
1,98,21,120
3,13,1,17
12,237,45,294
4,112,23,139
2,101,25,128
10,145,31,186
6,535,83,624
4,118,22,144
9,484,79,572
18,315,76,409
372,5172,790,6334
4,154,30,188
0,73,15,88
0,96,19,115
1,98,19,118
1,53,14,68
4,71,10,85
6,194,34,234
6,226,42,274
11,238,51,300
10,755,58,823
30,47,8,85
2,126,32,160
4,104,10,118
10,167,26,203
9,152,41,202
0,128,15,143
13,234,43,290
2,61,16,79
0,66,9,75
7,529,60,596
3,42,10,55
2,75,24,101
13,61,13,87
26,162,7,195
2,47,4,53
6,696,28,730
7,215,47,269
22,534,31,587
1,143,27,171
18,46,7,71
36,98,14,148
0,25,5,30
23,204,44,271
11,202,5,218
7,148,39,194
1,40,8,49
1,71,17,89
0,104,13,117
1,34,4,39
11,129,12,152
4,72,18,94
0,15,3,18
14,102,9,125
103,469,33,605
5,57,5,67
0,23,2,25
5,141,26,172
0,19,5,24
1,71,23,95
0,72,21,93
5,54,7,66
5,93,19,117
0,62,10,72
0,78,16,94
0,14,1,15
11,231,43,285
1,72,16,89
9,197,28,234
4,330,29,363
0,148,7,155
2,208,28,238
12,148,28,188
4,154,26,184
3,142,18,163
8,107,20,135
0,22,3,25
2,84,13,99
2,59,12,73
3,65,14,82
0,24,4,28
9,186,23,218
0,58,17,75
2,74,14,90
2,180,44,226
18,168,49,235
0,36,5,41
2,51,6,59
2,67,14,83
20,1372,47,1439
2,57,6,65
2,33,10,45
1,79,17,97
3,97,22,122
16,617,58,691
7,139,34,180
20,199,32,251
1,107,26,134
0,50,10,60
0,64,20,84
2,55,10,67
1,142,37,180
2,72,9,83
4,79,16,99
25,244,44,313
25,307,58,390
6,212,36,254
2,95,17,114
5,194,33,232
6,101,29,136
3,46,14,63
3,156,20,179
37,821,90,948
1,58,13,72
12,155,23,190
45,1639,122,1806
3,155,32,190
4,166,33,203
6,210,39,255
4,400,25,429
2,98,18,118
12,138,38,188
3,148,16,167
2,267,40,309
1,144,29,174
25,256,54,335
3,72,24,99
0,87,18,105
1,129,36,166
1,179,30,210
9,194,33,236
1,124,32,157
4,304,47,355
12,138,39,189
4,41,9,54
2,163,35,200
45,407,76,528
17,447,123,587
7,38,11,56
2,93,26,121
0,59,16,75
0,286,30,316
0,66,13,79
8,236,51,295
2,152,11,165
51,1998,128,2177
8,186,18,212
11,235,34,280
1,64,22,87
2,92,28,122
3,53,13,69
5,140,38,183
0,48,8,56
0,112,14,126
0,35,5,40
4,37,3,44
0,48,14,62
6,766,109,881
1,96,18,115
1,57,13,71
3,114,21,138
1,51,6,58
1,87,27,115
5,81,11,97
